title,freq
A,0.022908677
I,0.012302688
As,0.005888437
one,0.002951209
Will,0.002818383
like,0.002570396
No,0.002238721
time,0.001949845
get,0.001905461
would,0.001862087
new,0.001778279
people,0.001778279
also,0.001548817
good,0.001318257
first,0.001288250
know,0.001258925
see,0.001258925
two,0.001258925
make,0.001202264
think,0.001202264
could,0.001148154
back,0.001096478
us,0.001096478
want,0.001096478
go,0.001071519
well,0.001071519
said,0.001023293
way,0.001023293
much,0.001000000
even,0.000977237
May,0.000954993
may,0.000954993
need,0.000933254
really,0.000933254
right,0.000912011
work,0.000912011
year,0.000912011
day,0.000891251
going,0.000870964
made,0.000831764
still,0.000831764
take,0.000831764
got,0.000812831
many,0.000812831
never,0.000812831
life,0.000776247
say,0.000776247
world,0.000776247
great,0.000758578
S,0.000724436
last,0.000724436
best,0.000691831
love,0.000660693
man,0.000660693
home,0.000645654
long,0.000645654
look,0.000645654
something,0.000645654
use,0.000645654
used,0.000630957
every,0.000616595
Part,0.000602560
State,0.000602560
come,0.000602560
part,0.000602560
state,0.000602560
three,0.000602560
around,0.000588844
always,0.000575440
better,0.000575440
find,0.000575440
Old,0.000562341
help,0.000562341
high,0.000562341
little,0.000562341
old,0.000562341
since,0.000562341
another,0.000549541
game,0.000524807
thing,0.000524807
School,0.000512861
give,0.000512861
house,0.000512861
place,0.000512861
school,0.000512861
next,0.000501187
Mr,0.000489779
without,0.000489779
end,0.000478630
found,0.000478630
must,0.000478630
show,0.000478630
big,0.000467735
feel,0.000467735
sure,0.000467735
team,0.000467735
ever,0.000457088
family,0.000457088
keep,0.000457088
might,0.000457088
please,0.000457088
put,0.000457088
money,0.000436516
free,0.000426580
second,0.000426580
someone,0.000426580
away,0.000416869
left,0.000416869
number,0.000416869
Lot,0.000407380
city,0.000407380
days,0.000407380
lot,0.000407380
name,0.000407380
night,0.000407380
play,0.000407380
Real,0.000398107
company,0.000398107
let,0.000398107
real,0.000398107
different,0.000389045
set,0.000389045
thought,0.000389045
done,0.000380189
however,0.000380189
God,0.000371535
getting,0.000371535
god,0.000371535
government,0.000371535
group,0.000371535
looking,0.000371535
public,0.000371535
top,0.000371535
business,0.000363078
care,0.000363078
start,0.000363078
system,0.000363078
times,0.000363078
week,0.000363078
Case,0.000354813
already,0.000354813
anything,0.000354813
case,0.000354813
nothing,0.000354813
person,0.000354813
today,0.000354813
change,0.000346737
enough,0.000346737
everything,0.000346737
full,0.000346737
live,0.000346737
making,0.000346737
point,0.000346737
read,0.000346737
told,0.000346737
yet,0.000346737
bad,0.000338844
four,0.000338844
hard,0.000338844
mean,0.000338844
support,0.000338844
tell,0.000338844
music,0.000331131
power,0.000331131
seen,0.000331131
stop,0.000331131
water,0.000331131
based,0.000323594
believe,0.000323594
call,0.000323594
head,0.000323594
men,0.000323594
national,0.000323594
small,0.000323594
took,0.000323594
white,0.000323594
Came,0.000316228
Job,0.000316228
came,0.000316228
far,0.000316228
job,0.000316228
side,0.000316228
though,0.000316228
try,0.000316228
went,0.000316228
yes,0.000316228
American,0.000309030
actually,0.000309030
later,0.000309030
less,0.000309030
line,0.000309030
order,0.000309030
party,0.000309030
run,0.000309030
service,0.000309030
country,0.000301995
open,0.000301995
season,0.000301995
thank,0.000301995
everyone,0.000295121
general,0.000295121
trying,0.000295121
united,0.000295121
D,0.000288403
area,0.000288403
black,0.000288403
following,0.000288403
law,0.000288403
together,0.000288403
war,0.000288403
whole,0.000288403
Per,0.000281838
car,0.000281838
face,0.000281838
five,0.000281838
kind,0.000281838
maybe,0.000281838
per,0.000281838
president,0.000281838
story,0.000281838
working,0.000281838
course,0.000275423
health,0.000275423
hope,0.000275423
important,0.000275423
least,0.000275423
news,0.000275423
within,0.000275423
T,0.000269153
able,0.000269153
book,0.000269153
early,0.000269153
information,0.000269153
local,0.000269153
oh,0.000269153
post,0.000269153
thanks,0.000269153
video,0.000269153
young,0.000269153
ago,0.000263027
social,0.000263027
talk,0.000263027
court,0.000257040
fact,0.000257040
given,0.000257040
half,0.000257040
hand,0.000257040
level,0.000257040
mind,0.000257040
often,0.000257040
single,0.000257040
Guy,0.000251189
South,0.000251189
become,0.000251189
body,0.000251189
coming,0.000251189
control,0.000251189
death,0.000251189
food,0.000251189
guy,0.000251189
office,0.000251189
pay,0.000251189
problem,0.000251189
south,0.000251189
true,0.000251189
M,0.000245471
Win,0.000245471
almost,0.000245471
history,0.000245471
known,0.000245471
large,0.000245471
lost,0.000245471
research,0.000245471
room,0.000245471
several,0.000245471
taking,0.000245471
university,0.000245471
win,0.000245471
wrong,0.000245471
John,0.000239883
along,0.000239883
anyone,0.000239883
else,0.000239883
girl,0.000239883
matter,0.000239883
pretty,0.000239883
remember,0.000239883
Nice,0.000234423
air,0.000234423
bit,0.000234423
friend,0.000234423
hit,0.000234423
needs,0.000234423
